,loan_amnt,dti,annual_inc,emp_length,fico_mean
115,19716.0,17.0,87126.0,9.0,763.0
116,24404.0,18.0,102051.0,1.0,714.0
117,10044.0,20.0,65466.0,10.0,572.0
118,4760.0,16.0,59036.0,7.0,763.0
119,4360.0,19.0,53551.0,6.0,553.0
120,24296.0,17.0,103249.0,3.0,769.0
121,15784.0,19.0,66185.0,3.0,250.0
122,28787.0,18.0,117993.0,10.0,791.0
123,6427.0,15.0,55897.0,1.0,777.0
124,15110.0,18.0,81259.0,10.0,757.0
125,34722.0,19.0,127108.0,10.0,602.0
126,29291.0,20.0,105199.0,1.0,548.0
127,1850.0,16.0,46172.0,1.0,684.0
128,12118.0,18.0,65184.0,1.0,676.0
129,15214.0,18.0,77351.0,7.0,710.0
130,19431.0,19.0,72743.0,7.0,248.0
131,4113.0,15.0,66284.0,10.0,797.0
132,24384.0,19.0,92535.0,4.0,567.0
133,29112.0,18.0,122973.0,2.0,689.0
134,29398.0,18.0,119154.0,7.0,714.0
135,34495.0,17.0,143631.0,3.0,759.0
136,4574.0,16.0,58988.0,8.0,759.0
137,6750.0,19.0,57364.0,8.0,541.0
138,19595.0,20.0,77939.0,1.0,542.0
139,12130.0,18.0,56897.0,2.0,249.0
140,9034.0,19.0,64218.0,9.0,656.0
141,24536.0,20.0,91139.0,8.0,569.0
142,24439.0,17.0,103613.0,1.0,783.0
143,9761.0,16.0,65170.0,3.0,780.0
144,7621.0,17.0,58214.0,2.0,712.0
145,35235.0,18.0,135386.0,5.0,566.0
146,34669.0,19.0,128852.0,1.0,566.0
147,9983.0,18.0,61123.0,7.0,628.0
148,24163.0,17.0,99559.0,5.0,782.0
149,34864.0,19.0,135104.0,10.0,671.0
150,28926.0,20.0,106703.0,10.0,632.0
151,31101.0,18.0,108485.0,1.0,249.0
152,39868.0,16.0,164006.0,10.0,766.0
153,15028.0,19.0,77513.0,10.0,640.0
154,4786.0,18.0,50859.0,7.0,248.0
155,35409.0,17.0,150020.0,8.0,728.0
156,20298.0,18.0,91104.0,10.0,752.0
157,19314.0,20.0,76106.0,6.0,560.0
158,29431.0,19.0,108792.0,6.0,569.0
159,19530.0,17.0,91363.0,3.0,776.0
160,24416.0,17.0,105882.0,2.0,775.0
161,4582.0,18.0,66721.0,10.0,664.0
162,34559.0,17.0,146823.0,5.0,690.0
163,5434.0,16.0,58067.0,4.0,776.0
164,10917.0,19.0,59469.0,3.0,540.0
165,15132.0,20.0,70313.0,5.0,561.0
166,5896.0,17.0,55663.0,2.0,663.0
167,15234.0,17.0,77626.0,2.0,773.0
168,33002.0,18.0,113517.0,10.0,247.0
169,7442.0,18.0,58813.0,4.0,672.0
170,12044.0,18.0,67736.0,6.0,689.0
171,20356.0,19.0,88742.0,1.0,682.0
172,24241.0,19.0,90853.0,6.0,570.0
173,34949.0,19.0,133567.0,8.0,581.0
174,19469.0,19.0,85225.0,9.0,682.0
175,20306.0,20.0,81190.0,10.0,530.0
176,19677.0,17.0,86943.0,8.0,776.0
177,19574.0,20.0,78127.0,3.0,543.0
178,12089.0,17.0,70323.0,7.0,762.0
179,2920.0,16.0,51725.0,2.0,759.0
180,34552.0,16.0,148105.0,2.0,759.0
181,8874.0,19.0,62156.0,8.0,632.0
182,24458.0,18.0,106567.0,3.0,690.0
183,14979.0,20.0,69649.0,4.0,605.0
184,15048.0,18.0,75437.0,1.0,746.0
185,3021.0,18.0,54444.0,10.0,248.0
186,29191.0,17.0,124484.0,4.0,766.0
187,9929.0,17.0,61829.0,1.0,712.0
188,19584.0,19.0,87783.0,6.0,682.0
189,27788.0,19.0,116363.0,10.0,712.0
190,27696.0,18.0,116849.0,6.0,698.0
191,15303.0,19.0,75838.0,9.0,679.0
192,5265.0,18.0,46730.0,1.0,530.0
193,2832.0,20.0,58948.0,10.0,537.0
194,2770.0,18.0,59763.0,9.0,686.0
195,24998.0,17.0,103722.0,9.0,768.0
196,19761.0,20.0,82392.0,8.0,639.0
197,25073.0,17.0,104094.0,7.0,776.0
198,29600.0,19.0,107701.0,5.0,568.0
199,3615.0,18.0,50642.0,4.0,550.0
200,12119.0,20.0,68821.0,10.0,611.0
201,19514.0,19.0,80146.0,1.0,617.0
202,6292.0,18.0,68838.0,10.0,675.0
203,3555.0,18.0,59739.0,8.0,682.0
204,15298.0,17.0,78962.0,8.0,778.0
205,19722.0,16.0,92123.0,2.0,779.0
206,14988.0,17.0,77624.0,4.0,781.0
207,6698.0,18.0,53300.0,8.0,249.0
208,23093.0,18.0,83299.0,5.0,247.0
209,10776.0,18.0,57215.0,3.0,250.0
210,12080.0,19.0,64126.0,2.0,640.0
211,7785.0,17.0,57243.0,1.0,734.0
212,9098.0,19.0,57798.0,6.0,545.0
213,15136.0,18.0,77104.0,9.0,760.0
214,24534.0,17.0,101615.0,10.0,799.0
215,10439.0,17.0,68530.0,9.0,781.0
216,4047.0,17.0,52343.0,1.0,684.0
217,11106.0,19.0,58042.0,1.0,598.0
218,10766.0,19.0,60725.0,5.0,597.0
219,15218.0,19.0,72485.0,2.0,642.0
220,7998.0,18.0,70538.0,10.0,674.0
221,24328.0,18.0,105020.0,4.0,690.0
222,2739.0,17.0,57143.0,6.0,688.0
223,34881.0,19.0,131958.0,10.0,722.0
224,14111.0,19.0,59491.0,1.0,249.0
225,24619.0,19.0,104695.0,10.0,713.0
226,2904.0,16.0,55930.0,5.0,747.0
227,27601.0,20.0,97527.0,9.0,566.0
228,15073.0,18.0,81906.0,10.0,722.0
229,17796.0,19.0,82315.0,10.0,718.0
230,12078.0,18.0,67899.0,2.0,706.0
231,9272.0,18.0,65454.0,6.0,701.0
232,5983.0,16.0,56899.0,2.0,772.0
233,6662.0,16.0,59358.0,3.0,777.0
234,15683.0,20.0,67882.0,9.0,558.0
235,19579.0,20.0,77389.0,5.0,549.0
236,24336.0,19.0,98062.0,2.0,633.0
237,9780.0,16.0,71952.0,10.0,800.0
238,24291.0,20.0,90194.0,1.0,554.0
239,2664.0,16.0,55631.0,4.0,733.0
240,15050.0,18.0,75868.0,1.0,702.0
241,9904.0,18.0,60469.0,1.0,660.0
242,2778.0,17.0,48297.0,2.0,628.0
243,9535.0,16.0,62431.0,1.0,778.0
244,9956.0,18.0,72537.0,10.0,690.0
245,15320.0,18.0,76940.0,6.0,706.0
246,34890.0,18.0,139629.0,1.0,683.0
247,9299.0,18.0,62922.0,3.0,674.0
248,10419.0,16.0,67368.0,4.0,786.0
249,24410.0,20.0,89196.0,7.0,572.0
250,34810.0,18.0,135935.0,2.0,568.0
251,15038.0,19.0,75265.0,3.0,674.0
252,14963.0,19.0,74842.0,5.0,678.0
